satname,norad_id,inclination_deg,eccentricity,mean_motion_rev_per_day,perigee_km,apogee_km,l1,l2
STARLINK-1422,45696,53.1549,0.0001948,15.39585218,446.00534808215707,448.66455195388517,1 45696U 20035AR  26189.43502912  .00033805  00000+0  85231-3 0  9992,2 45696  53.1549 206.1296 0001948  62.8713 297.2490 15.39585218337490
STARLINK-1351,45697,53.0404,9.53e-05,15.69424249,359.90238811422205,361.1867808242214,1 45697U 20035AS  26189.32093125  .00039667  00000+0  33459-3 0  9999,2 45697  53.0404 152.1302 0000953  22.6572 337.4486 15.69424249338223
STARLINK-1400,45700,53.0395,0.0001431,15.74085895,346.2712315580329,348.196032632939,1 45700U 20035AV  26189.93013253  .00054480  00000+0  37549-3 0  9999,2 45700  53.0395 151.2035 0001431 114.3424 245.7744 15.74085895338287
STARLINK-1403,45701,53.1525,0.0004483,15.36497205,453.4130386369816,459.5409535458766,1 45701U 20035AW  26189.29355649  .00050585  00000+0  14009-2 0  9994,2 45701  53.1525 194.7780 0004483   4.8008 355.3038 15.36497205337636
STARLINK-1407,45703,53.0262,0.0005499,15.79831327,327.22881793742545,334.6074367664869,1 45703U 20035AY  26189.91214928  .00075627  00000+0  40166-3 0  9997,2 45703  53.0262  76.2504 0005499 142.2836 217.8571 15.79831327339334
STARLINK-1423,45710,53.0404,0.0003381,15.72736733,348.8041447366222,353.3544407937907,1 45710U 20035BF  26189.27186151  .00047922  00000+0  35063-3 0  9997,2 45710  53.0404 150.7095 0003381 150.5680 209.5529 15.72736733338226
STARLINK-1433,45711,53.0406,0.0001516,15.78288299,334.2724390150279,336.3079501404236,1 45711U 20035BG  26189.96370831  .00070014  00000+0  39952-3 0  9993,2 45711  53.0406 145.2267 0001516 125.1788 234.9374 15.78288299338364
STARLINK-1434,45712,53.0464,0.0002911,15.3697079,453.08381551852017,457.06211035894376,1 45712U 20035BH  26189.32507016  .00037753  00000+0  10342-2 0  9995,2 45712  53.0464 176.7544 0002911  66.5082 293.6226 15.36970790337883
STARLINK-1465,45731,53.0439,0.0001357,15.71921337,352.4926995172291,354.3196403335469,1 45731U 20038B   26189.73408973  .00057291  00000+0  43260-3 0  9991,2 45731  53.0439 352.8271 0001357 259.2210 100.8654 15.71921337335285
STARLINK-1471,45735,53.0438,8.93e-05,15.55256733,400.80102765822085,402.01185411676306,1 45735U 20038F   26189.51300435  .00040578  00000+0  59291-3 0  9996,2 45735  53.0438 280.3857 0000893 249.9300 110.1614 15.55256733336298
STARLINK-1480,45741,53.0474,0.0003257,15.6855606,360.83531084330843,365.22650761938166,1 45741U 20038M   26189.71652887  .00048443  00000+0  42180-3 0  9994,2 45741  53.0474 347.3342 0003257 120.9934 239.1402 15.68556060335371
