provider,status,window_start,net,name,delay_hours
Arianespace,Launch Successful,2025-07-26 02:03:48+00:00,2025-07-26 02:03:48+00:00,Vega-C | CO3D & MicroCarb,0.0
Russian Federal Space Agency (ROSCOSMOS),Launch Successful,2025-07-25 05:54:04+00:00,2025-07-25 05:54:04+00:00,Soyuz 2.1b/Fregat-M | Ionosfera-M 3 & 4,0.0
SpaceX,Launch Successful,2025-07-23 18:13:00+00:00,2025-07-23 18:13:00+00:00,Falcon 9 Block 5 | TRACERS,0.0
SpaceX,Launch Successful,2025-07-22 21:12:00+00:00,2025-07-22 21:12:00+00:00,Falcon 9 Block 5 | O3b mPower 9-10,0.0
SpaceX,Launch Successful,2025-07-19 03:51:00+00:00,2025-07-19 03:52:59+00:00,Falcon 9 Block 5 | Starlink Group 17-3,0.03305555555555555
SpaceX,Launch Successful,2025-07-16 06:18:00+00:00,2025-07-16 06:30:00+00:00,Falcon 9 Block 5 | Project Kuiper (KF-01),0.2
SpaceX,Launch Successful,2025-07-16 02:05:20+00:00,2025-07-16 02:05:20+00:00,Falcon 9 Block 5 | Starlink Group 15-2,0.0
China Aerospace Science and Technology Corporation,Launch Successful,2025-07-14 21:30:00+00:00,2025-07-14 21:34:23+00:00,Long March 7 | Tianzhou-9,0.07305555555555555
SpaceX,Launch Successful,2025-07-13 05:04:00+00:00,2025-07-13 05:04:00+00:00,Falcon 9 Block 5 | Dror-1,0.0
SpaceX,Launch Successful,2025-07-08 05:48:00+00:00,2025-07-08 08:21:00+00:00,Falcon 9 Block 5 | Starlink Group 10-28,2.55
Russian Federal Space Agency (ROSCOSMOS),Launch Successful,2025-07-03 19:32:40+00:00,2025-07-03 19:32:40+00:00,Soyuz 2.1a | Progress MS-31 (92P),0.0
China Aerospace Science and Technology Corporation,Launch Successful,2025-07-03 09:26:00+00:00,2025-07-03 09:35:00+00:00,Long March 4C | Shiyan 28 B-01,0.15
SpaceX,Launch Successful,2025-07-02 05:29:00+00:00,2025-07-02 06:28:10+00:00,Falcon 9 Block 5 | Starlink Group 10-25,0.9861111111111112
