time,sat_a,id_a,sat_b,id_b,sep_km,note
2025-09-08 07:37:31.909369+00:00,STARLINK-1142,45093,STARLINK-1147,45095,114.66246196778536,closest_pair
2025-09-08 14:11:31.909369+00:00,STARLINK-1152,45096,STARLINK-1234,45190,115.01064895331552,closest_pair
2025-09-08 12:19:31.909369+00:00,STARLINK-1067,44771,STARLINK-1122,44949,115.02199019690494,closest_pair
2025-09-08 20:22:31.909369+00:00,STARLINK-1012,44718,STARLINK-1131,45047,115.78996721140902,closest_pair
2025-09-08 08:36:31.909369+00:00,STARLINK-1167,45071,STARLINK-1222,45228,116.0086741187129,closest_pair
2025-09-08 06:10:31.909369+00:00,STARLINK-1152,45096,STARLINK-1221,45227,116.81387386529502,closest_pair
2025-09-08 22:04:31.909369+00:00,STARLINK-1030,44735,STARLINK-1173,45084,117.16385393214945,closest_pair
2025-09-08 06:42:31.909369+00:00,STARLINK-1123,44930,STARLINK-1193,45100,117.94688259256831,closest_pair
2025-09-08 10:16:31.909369+00:00,STARLINK-1221,45227,STARLINK-1222,45228,118.71531943313428,closest_pair
2025-09-08 05:37:31.909369+00:00,STARLINK-1030,44735,STARLINK-1056,44761,118.87984299586607,closest_pair
2025-09-09 00:57:31.909369+00:00,STARLINK-1193,45100,STARLINK-1221,45227,118.95274203012623,closest_pair
2025-09-08 09:40:31.909369+00:00,STARLINK-1190,45083,STARLINK-1143,45179,119.50679855775024,closest_pair
2025-09-08 02:59:31.909369+00:00,STARLINK-1151,45081,STARLINK-1305,45377,120.01916245295529,closest_pair
2025-09-09 01:30:31.909369+00:00,STARLINK-1031,44736,STARLINK-1056,44761,120.22847689453887,closest_pair
2025-09-08 07:25:31.909369+00:00,STARLINK-1042,44747,STARLINK-1222,45228,120.65754724318629,closest_pair
2025-09-08 19:28:31.909369+00:00,STARLINK-1042,44747,STARLINK-1063,44768,122.32576486063073,closest_pair
2025-09-08 07:11:31.909369+00:00,STARLINK-1098,44917,STARLINK-1179,45085,122.41890138354113,closest_pair
2025-09-09 00:41:31.909369+00:00,STARLINK-1030,44735,STARLINK-1224,45186,122.71413770229404,closest_pair
2025-09-08 02:56:31.909369+00:00,STARLINK-1010,44716,STARLINK-1258,45381,122.75811752627348,closest_pair
2025-09-08 04:24:31.909369+00:00,STARLINK-1096,44942,STARLINK-1258,45381,122.83994740233065,closest_pair
2025-09-08 09:04:31.909369+00:00,STARLINK-1056,44761,STARLINK-1224,45186,122.94439879155411,closest_pair
2025-09-08 21:04:31.909369+00:00,STARLINK-1153,45080,STARLINK-1221,45227,123.308303743197,closest_pair
2025-09-08 06:02:31.909369+00:00,STARLINK-1091,44940,STARLINK-1247,45236,123.52388435094919,closest_pair
2025-09-08 05:27:31.909369+00:00,STARLINK-1210,45207,STARLINK-1238,45233,123.73833355334905,closest_pair
2025-09-08 16:30:31.909369+00:00,STARLINK-1021,44726,STARLINK-1115,44973,123.81027855907585,closest_pair
2025-09-08 06:49:31.909369+00:00,STARLINK-1053,44758,STARLINK-1147,45095,124.20827492192846,closest_pair
2025-09-08 06:47:31.909369+00:00,STARLINK-1057,44762,STARLINK-1107,44972,124.32045432608766,closest_pair
2025-09-08 07:50:31.909369+00:00,STARLINK-1210,45207,STARLINK-1226,45229,124.34580271755506,closest_pair
2025-09-08 16:23:31.909369+00:00,STARLINK-1134,45048,STARLINK-1269,45197,124.71892226572922,closest_pair
2025-09-08 03:32:31.909369+00:00,STARLINK-1144,44933,STARLINK-1153,45080,125.91843660827075,closest_pair
2025-09-08 05:05:31.909369+00:00,STARLINK-1134,45048,STARLINK-1184,45098,126.84224084674503,closest_pair
2025-09-09 01:02:31.909369+00:00,STARLINK-1132,45044,STARLINK-1152,45096,127.07879047358983,closest_pair
2025-09-08 15:50:31.909369+00:00,STARLINK-1144,44933,STARLINK-1176,45090,127.23221643438362,closest_pair
2025-09-08 05:35:31.909369+00:00,STARLINK-1237,45192,STARLINK-1217,45226,127.33217523624,closest_pair
2025-09-08 14:12:31.909369+00:00,STARLINK-1142,45093,STARLINK-1143,45179,127.34130610550231,closest_pair
2025-09-08 14:35:31.909369+00:00,STARLINK-1107,44972,STARLINK-1173,45084,127.4610188204444,closest_pair
2025-09-08 09:53:31.909369+00:00,STARLINK-1167,45071,STARLINK-1302,45375,128.41729107297456,closest_pair
2025-09-08 13:28:31.909369+00:00,STARLINK-1056,44761,STARLINK-1144,44933,128.48538007675035,closest_pair
2025-09-08 03:12:31.909369+00:00,STARLINK-1152,45096,STARLINK-1231,45212,128.83953722641624,closest_pair
2025-09-09 00:50:31.909369+00:00,STARLINK-1042,44747,STARLINK-1277,45369,128.83997990420724,closest_pair
2025-09-08 18:09:31.909369+00:00,STARLINK-1060,44765,STARLINK-1143,45179,128.90436412475762,closest_pair
2025-09-08 11:31:31.909369+00:00,STARLINK-1123,44930,STARLINK-1134,45048,129.45057111707976,closest_pair
2025-09-08 20:56:31.909369+00:00,STARLINK-1042,44747,STARLINK-1319,45379,129.4819628650172,closest_pair
2025-09-08 19:19:31.909369+00:00,STARLINK-1153,45080,STARLINK-1142,45093,130.19753629279214,closest_pair
2025-09-08 06:16:31.909369+00:00,STARLINK-1143,45179,STARLINK-1302,45375,130.61869424322552,closest_pair
2025-09-08 23:31:31.909369+00:00,STARLINK-1123,44930,STARLINK-1221,45227,130.79677517273456,closest_pair
2025-09-08 18:50:31.909369+00:00,STARLINK-1054,44759,STARLINK-1258,45381,130.8322479159645,closest_pair
2025-09-08 12:19:31.909369+00:00,STARLINK-1019,44724,STARLINK-1166,45060,131.19261884836536,closest_pair
2025-09-08 23:35:31.909369+00:00,STARLINK-1020,44725,STARLINK-1144,44933,131.40976762871944,closest_pair
2025-09-08 03:07:31.909369+00:00,STARLINK-1156,45054,STARLINK-1221,45227,131.4658329318194,closest_pair
2025-09-08 10:29:31.909369+00:00,STARLINK-1104,44922,STARLINK-1206,45204,131.68761806322925,closest_pair
2025-09-08 16:04:31.909369+00:00,STARLINK-1053,44758,STARLINK-1179,45085,131.84094724626618,closest_pair
2025-09-08 16:23:31.909369+00:00,STARLINK-1132,45044,STARLINK-1221,45227,132.00195031517686,closest_pair
2025-09-08 13:10:31.909369+00:00,STARLINK-1171,45062,STARLINK-1210,45207,132.10448682857376,closest_pair
2025-09-08 16:32:31.909369+00:00,STARLINK-1057,44762,STARLINK-1115,44973,132.71480534936578,closest_pair
2025-09-08 10:09:31.909369+00:00,STARLINK-1230,45189,STARLINK-1267,45384,133.11905171435617,closest_pair
2025-09-08 21:28:31.909369+00:00,STARLINK-1168,45072,STARLINK-1143,45179,134.86944975057818,closest_pair
2025-09-08 05:31:31.909369+00:00,STARLINK-1217,45226,STARLINK-1221,45227,135.30256566097498,closest_pair
2025-09-08 08:40:31.909369+00:00,STARLINK-1060,44765,STARLINK-1231,45212,135.4785935140845,closest_pair
2025-09-08 17:56:31.909369+00:00,STARLINK-1168,45072,STARLINK-1273,45367,135.97295523205977,closest_pair
2025-09-08 11:44:31.909369+00:00,STARLINK-1150,45067,STARLINK-1228,45188,137.00599674385393,closest_pair
2025-09-08 06:28:31.909369+00:00,STARLINK-1107,44972,STARLINK-1230,45189,137.07287543450082,closest_pair
2025-09-09 02:26:31.909369+00:00,STARLINK-1042,44747,STARLINK-1147,45095,137.15236864715007,closest_pair
2025-09-08 20:45:31.909369+00:00,STARLINK-1008,44714,STARLINK-1142,45093,137.25594013224602,closest_pair
2025-09-08 10:56:31.909369+00:00,STARLINK-1011,44717,STARLINK-1015,44721,137.4585882534274,closest_pair
2025-09-08 11:29:31.909369+00:00,STARLINK-1031,44736,STARLINK-1043,44748,138.46772402666403,closest_pair
2025-09-08 19:50:31.909369+00:00,STARLINK-1144,44933,STARLINK-1169,45061,138.52075022563574,closest_pair
2025-09-08 10:05:31.909369+00:00,STARLINK-1080,44961,STARLINK-1210,45207,138.64540960655725,closest_pair
2025-09-08 13:39:31.909369+00:00,STARLINK-1112,44925,STARLINK-1172,45074,139.03910973263513,closest_pair
2025-09-08 10:41:31.909369+00:00,STARLINK-1020,44725,STARLINK-1031,44736,139.12748870867907,closest_pair
2025-09-08 13:09:31.909369+00:00,STARLINK-1042,44747,STARLINK-1305,45377,139.17589879349137,closest_pair
2025-09-08 16:13:31.909369+00:00,STARLINK-1132,45044,STARLINK-1142,45093,139.34769454857366,closest_pair
2025-09-08 23:27:31.909369+00:00,STARLINK-1107,44972,STARLINK-1216,45185,139.4498067922297,closest_pair
2025-09-08 19:36:31.909369+00:00,STARLINK-1217,45226,STARLINK-1306,45362,139.7645990939163,closest_pair
2025-09-08 23:07:31.909369+00:00,STARLINK-1173,45084,STARLINK-1206,45204,140.07405622136955,closest_pair
2025-09-08 16:19:31.909369+00:00,STARLINK-1042,44747,STARLINK-1266,45383,140.1521045598381,closest_pair
2025-09-08 09:29:31.909369+00:00,STARLINK-1098,44917,STARLINK-1190,45083,140.5978048190176,closest_pair
2025-09-08 13:25:31.909369+00:00,STARLINK-1144,44933,STARLINK-1305,45377,140.6811705891732,closest_pair
2025-09-08 17:22:31.909369+00:00,STARLINK-1036,44741,STARLINK-1143,45179,141.13041462090493,closest_pair
2025-09-08 03:17:31.909369+00:00,STARLINK-1091,44940,STARLINK-1258,45381,141.13275312570866,closest_pair
2025-09-08 23:55:31.909369+00:00,STARLINK-1056,44761,STARLINK-1306,45362,141.2943338532641,closest_pair
2025-09-08 17:19:31.909369+00:00,STARLINK-1091,44940,STARLINK-1146,45094,141.57708678349215,closest_pair
2025-09-08 19:13:31.909369+00:00,STARLINK-1112,44925,STARLINK-1209,45206,141.60642725677403,closest_pair
2025-09-08 13:45:31.909369+00:00,STARLINK-1112,44925,STARLINK-1238,45233,141.69972582965025,closest_pair
2025-09-08 17:30:31.909369+00:00,STARLINK-1096,44942,STARLINK-1179,45085,141.9785596761352,closest_pair
2025-09-08 07:41:31.909369+00:00,STARLINK-1306,45362,STARLINK-1262,45366,142.2248467353772,closest_pair
2025-09-08 10:36:31.909369+00:00,STARLINK-1012,44718,STARLINK-1031,44736,142.41237185597555,closest_pair
2025-09-08 06:44:31.909369+00:00,STARLINK-1144,44933,STARLINK-1206,45204,142.50691323138193,closest_pair
2025-09-08 18:40:31.909369+00:00,STARLINK-1015,44721,STARLINK-1091,44940,142.65106047254085,closest_pair
2025-09-08 02:56:31.909369+00:00,STARLINK-1048,44753,STARLINK-1053,44758,143.75901254126958,closest_pair
2025-09-09 01:58:31.909369+00:00,STARLINK-1021,44726,STARLINK-1210,45207,144.06625496627757,closest_pair
2025-09-08 14:35:31.909369+00:00,STARLINK-1036,44741,STARLINK-1142,45093,144.60767891386087,closest_pair
2025-09-08 16:57:31.909369+00:00,STARLINK-1053,44758,STARLINK-1132,45044,144.6117922730736,closest_pair
2025-09-08 06:29:31.909369+00:00,STARLINK-1096,44942,STARLINK-1210,45207,144.76919101888177,closest_pair
2025-09-08 02:53:31.909369+00:00,STARLINK-1112,44925,STARLINK-1208,45205,145.051889298828,closest_pair
2025-09-08 07:44:31.909369+00:00,STARLINK-1156,45054,STARLINK-1142,45093,145.21128817543217,closest_pair
2025-09-08 03:30:31.909369+00:00,STARLINK-1115,44973,STARLINK-1206,45204,145.2568023492937,closest_pair
2025-09-08 20:18:31.909369+00:00,STARLINK-1144,44933,STARLINK-1279,45360,145.32030398074505,closest_pair
2025-09-08 19:16:31.909369+00:00,STARLINK-1306,45362,STARLINK-1277,45369,145.36327195672118,closest_pair
2025-09-08 17:02:31.909369+00:00,STARLINK-1042,44747,STARLINK-1276,45368,146.05361754799702,closest_pair
2025-09-08 18:05:31.909369+00:00,STARLINK-1112,44925,STARLINK-1273,45367,146.15734188024618,closest_pair
2025-09-08 10:03:31.909369+00:00,STARLINK-1053,44758,STARLINK-1156,45054,146.2808558764219,closest_pair
2025-09-08 11:15:31.909369+00:00,STARLINK-1191,45222,STARLINK-1306,45362,146.8878084797651,closest_pair
2025-09-09 02:36:31.909369+00:00,STARLINK-1201,45182,STARLINK-1224,45186,147.19206009617008,closest_pair
2025-09-09 02:41:31.909369+00:00,STARLINK-1200,45181,STARLINK-1224,45186,147.25563531737396,closest_pair
2025-09-08 22:42:31.909369+00:00,STARLINK-1053,44758,STARLINK-1143,45179,147.33199521706788,closest_pair
2025-09-08 07:36:31.909369+00:00,STARLINK-1031,44736,STARLINK-1107,44972,148.57927936015668,closest_pair
2025-09-08 15:54:31.909369+00:00,STARLINK-1144,44933,STARLINK-1183,45088,148.65858728585994,closest_pair
2025-09-08 13:44:31.909369+00:00,STARLINK-1053,44758,STARLINK-1302,45375,148.76144398171897,closest_pair
2025-09-09 02:11:31.909369+00:00,STARLINK-1039,44744,STARLINK-1107,44972,149.08302345070558,closest_pair
2025-09-08 03:38:31.909369+00:00,STARLINK-1104,44922,STARLINK-1176,45090,149.64373623348737,closest_pair
2025-09-08 04:26:31.909369+00:00,STARLINK-1030,44735,STARLINK-1217,45226,149.9205339104202,closest_pair
2025-09-09 00:12:31.909369+00:00,STARLINK-1053,44758,STARLINK-1222,45228,150.20795977368095,closest_pair
