name,spkid,albedo,diameter_km,e,i_deg,a_au,class
  2470 Agematsu (1976 UW15),20002470,0.213,11.469,0.01285784731788195,3.108325942919405,2.886739326875664,M
  2471 Ultrajectum (6545 P-L),20002471,0.124,15.704,0.0887942072089658,10.28238904704904,2.996195488893473,C
  2472 Bradman (1973 DG),20002472,0.851,3.509,0.09334053845326104,5.103973490185319,2.265525509306365,S
  2473 Heyerdahl (1977 RX7),20002473,0.381,4.935,0.1351801703968599,5.191486515563274,2.242171655498183,S
  2474 Ruby (1979 PB),20002474,0.059,23.897,0.2181593814405726,7.518439042854866,2.689195355031383,C
  2475 Semenov (1972 TF2),20002475,0.171,14.494,0.10224242773074,9.086913685362507,3.038334801037932,M
  2476 Andersen (1976 JF2),20002476,0.15,20.695,0.1126122393921307,10.83269397107996,3.024529842908313,M
  2477 Biryukov (1977 PY1),20002477,0.06,18.227,0.1522359036266548,6.105832885568202,2.556838602111843,C
  2478 Tokai (1981 JC),20002478,0.252,9.238,0.06776859785279905,4.142440692395768,2.225663073966628,M
  2479 Sodankyla (1942 CB),20002479,0.245,6.442,0.1946812565545676,2.908464655234101,2.390047701048936,M
  2480 Papanov (1976 YS1),20002480,0.407,5.962,0.1197161433036907,2.915284272680372,2.226036843938991,S
  2481 Burgi (1977 UQ),20002481,0.246,4.657,0.261338446186542,2.257659320748197,2.570189203303639,M
  2482 Perkin (1980 CO),20002482,0.124,11.31,0.06103348757321021,3.132943507560919,2.927898609426064,C
  2483 Guinevere (1928 QB),20002483,0.067,35.688,0.2786239842870749,4.501888824909407,3.971602079587312,C
  2484 Parenago (1928 TK),20002484,0.113,6.266,0.2536427529914255,1.20126416187972,2.343160261749832,C
  2485 Scheffler (1932 BH),20002485,0.061,13.619,0.1919129109956143,2.750432568028568,3.240451361900484,C
  2486 Metsahovi (1939 FY),20002486,0.268,7.883,0.07960530050582162,8.400217643517356,2.268666929182556,M
  2487 Juhani (1940 RL),20002487,0.028,9.507,0.1835590272676769,2.804584911367329,2.397472485397679,C
  2488 Bryan (1952 UT),20002488,0.3,4.413,0.2249285368461839,6.889611010164481,2.263256436014379,S
  2489 Suvorov (1975 NY),20002489,0.059,20.854,0.1535760662053058,1.78141111649232,3.107775672931025,C
  2490 Bussolini (1976 AG),20002490,0.223,11.725,0.131817483175152,12.94877847371871,2.609043094183299,M
  2491 Tvashtri (1977 CB),20002491,0.561,3.259,0.05441150015860025,22.86567091942605,1.877748052465488,S
  2492 Kutuzov (1977 NT),20002492,0.068,27.792,0.14427836671053,0.8118694758972942,3.200791018688746,C
  2493 Elmer (1978 XC),20002493,0.322,7.401,0.1694592814713224,8.72589787420934,2.790724457904722,S
  2494 Inge (1981 LF),20002494,0.032,46.628,0.06123099434585569,11.51817956505894,3.161634182641253,C
  2495 Noviomagum (7071 P-L),20002495,0.614,1.696,0.1026017204355059,21.12192520142587,1.917668417591902,S
  2496 Fernandus (1953 TC1),20002496,0.314,5.687,0.03347874136787415,0.919195280959756,2.170092934209042,S
  2497 Kulikovskij (1977 PZ1),20002497,,,0.2277546488162837,5.824804168045432,2.542259221908747,C
  2498 Tsesevich (1977 QM3),20002498,0.289,11.294,0.08636500495903464,1.230341233187815,2.915491176965262,M
  2499 Brunk (1978 VJ7),20002499,0.092,15.879,0.13260235942822,0.755806929150392,3.096905534602843,C
  2500 Alascattalo (1926 GC),20002500,0.257,7.481,0.09992734624390584,6.989969140608716,2.239839413984474,M
  2501 Lohja (1942 GD),20002501,0.281,10.218,0.1986026246972252,3.297293387628565,2.420473487094094,M
  2502 Nummela (1943 EO),20002502,0.102,18.975,0.2245698448785367,17.81878761516554,2.934031359944093,C
  2503 Liaoning (1965 UB1),20002503,0.078,6.714,0.2131394403680575,7.103704265853728,2.191962343674215,C
  2504 Gaviola (1967 JO),20002504,0.301,10.579,0.08617494976705609,4.064770711656575,2.764273482993129,S
  2505 Hebei (1975 UJ),20002505,0.089,22.288,0.1717832984868228,2.077055900746448,3.144825727914617,C
  2506 Pirogov (1976 QG1),20002506,0.261,11.359,0.0194841300116414,2.169608828390549,2.900077146902142,M
  2507 Bobone (1976 WB1),20002507,0.273,16.193,0.0845177213339042,10.30808489299799,2.779124685167598,M
  2508 Alupka (1977 ET1),20002508,0.293,4.896,0.1278613331278108,6.083640313862099,2.368091472348008,M
  2509 Chukotka (1977 NG),20002509,0.041,16.784,0.194862367705938,2.851094663673569,2.455905201648871,C
  2510 Shandong (1979 TH),20002510,0.194,9.108,0.1973067329038315,5.268507144234031,2.252370623337923,M
  2511 Patterson (1980 LM),20002511,0.287,7.849,0.1049559287712616,8.052598646683846,2.298229065551302,M
  2512 Tavastia (1940 GG),20002512,0.352,7.548,0.1203682463410689,6.380934581303878,2.244270403935817,S
  2513 Baetsle (1950 SH),20002513,0.303,5.054,0.1807722245617068,3.165566858693045,2.286132159545645,S
  2514 Taiyuan (1964 TA1),20002514,0.19,8.787,0.09894533549917016,2.338648949944731,2.650341895790648,M
  2515 Gansu (1964 TX1),20002515,,,0.1829404575553911,3.994518050743216,3.194828098642376,C
  2516 Roman (1964 VY),20002516,0.301,4.408,0.1645274265497249,1.093796207203384,2.280118071659467,S
  2517 Orma (1968 SB),20002517,0.083,20.087,0.1741664238345857,2.632539702433249,3.181379249134484,C
  2518 Rutllant (1974 FG),20002518,0.771,3.162,0.1726420686312715,5.926407183883638,2.30877335597113,S
  2519 Annagerman (1975 VD2),20002519,0.115,20.552,0.1661502203157529,2.420868501095971,3.147020185293851,C
  2520 Novorossijsk (1976 QF1),20002520,0.045,29.946,0.09173983282180606,6.223099641770664,3.108215490754673,C
  2521 Heidi (1979 DK),20002521,,,0.08940733962017035,7.734457420356484,2.794654522477772,C
  2522 Triglav (1980 PP),20002522,0.175,17.467,0.04928892961408111,8.781119529340081,3.01881624031168,M
  2523 Ryba (1980 PV),20002523,0.199,17.353,0.03447677333738474,8.908572235780074,3.016866310343893,M
  2524 Budovicium (1981 QB1),20002524,0.067,32.677,0.1561993320807475,0.2903823955493007,3.118085182656182,C
  2525 O'Steen (1981 VG),20002525,0.111,29.877,0.1771971354628708,2.775038301302164,3.150638569578985,C
  2526 Alisary (1979 KX),20002526,0.089,15.439,0.167626300308435,3.253185837857392,3.147330161707961,C
  2527 Gregory (1981 RE),20002527,0.05,13.114,0.185854973002579,2.61513645949578,2.465908650726748,C
  2528 Mohler (1953 TF1),20002528,0.057,19.443,0.1698806660642955,0.5127176197223489,3.1504657764974,C
  2529 Rockwell Kent (1977 QL2),20002529,,,0.09462215458796704,4.415746421266666,2.534380200348081,C
  2530 Shipka (1978 NC3),20002530,0.136,12.403,0.1239521781757758,10.09536803348615,3.020168963630751,C
  2531 Cambridge (1980 LD),20002531,0.166,22.349,0.05056224870040159,11.04563153864795,3.009637865482681,M
  2532 Sutton (1980 TU5),20002532,0.317,6.979,0.1716386064579618,4.338354325767209,2.37355557790366,S
  2533 Fechtig (A905 VA),20002533,0.095,20.796,0.170884572394035,1.578619298557874,3.093626725866965,C
  2534 Houzeau (1931 VD),20002534,0.042,31.052,0.1664755599378365,0.8120257348345002,3.151494785174688,C
  2535 Hameenlinna (1939 DH),20002535,0.183,7.116,0.08044101201878784,3.432261699354482,2.239399585516433,M
  2536 Kozyrev (1939 PJ),20002536,0.305,7.974,0.2280317125825554,4.869894180324251,2.305363111149982,S
  2537 Gilmore (1951 RL),20002537,0.309,7.221,0.1703200979566669,12.93965371529141,2.656615473877694,S
  2538 Vanderlinden (1954 UD),20002538,0.259,5.459,0.1298938626634283,4.763648581819275,2.239319243368237,M
  2539 Ningxia (1964 TS2),20002539,0.279,3.634,0.1686176289056037,3.98109689947625,2.262518377031067,M
  2540 Blok (1971 TH2),20002540,0.302,5.671,0.05137415324009673,1.266474818681187,2.196226266191266,S
  2541 Edebono (1973 DE),20002541,0.286,10.357,0.07667806426085567,3.193255115253364,2.937485055222609,M
  2542 Calpurnia (1980 CF),20002542,0.102,20.854,0.08155169873636399,4.635227229898616,3.126055000418456,C
  2543 Machado (1980 LJ),20002543,0.336,14.473,0.2820774564274913,15.04255875264902,3.09761171896122,S
  2544 Gubarev (1980 PS),20002544,0.248,9.261,0.2417866887542022,22.51364135433285,2.372282157488289,M
  2545 Verbiest (1933 BB),20002545,0.235,6.883,0.1252830715840312,5.966132311621678,2.229016426707655,M
  2546 Libitina (1950 FC),20002546,0.176,14.467,0.188221724856367,10.31645373917112,2.602680777540094,M
  2547 Hubei (1964 TC2),20002547,,,0.1291226509401114,6.189407969311159,2.384724289874407,C
  2548 Leloir (1975 DA),20002548,0.412,10.364,0.1004522466408758,18.15857635022563,2.635148655958111,S
  2549 Baker (1976 UB),20002549,0.051,17.039,0.1701355048896063,0.0701582663700424,3.200553767409402,C
  2550 Houssay (1976 UP20),20002550,0.105,22.379,0.165414992764888,10.40545726948375,3.198348552135636,C
  2551 Decabrina (1976 YX1),20002551,0.064,15.739,0.1703732949767731,0.6097679187588474,3.154002164298341,C
  2552 Remek (1978 SP),20002552,,,0.1885954884396454,0.8998930382232564,2.146933545837311,C
  2553 Viljev (1979 FS2),20002553,0.271,14.021,0.04769249193136745,5.249800760236589,3.08558595347662,M
  2554 Skiff (1980 OB),20002554,0.334,6.005,0.1451935371694629,4.858096094658166,2.263133633375552,S
  2555 Thomas (1980 OC),20002555,0.32,10.256,0.08182237004581638,0.9024947161674326,2.869915143727625,S
  2556 Louise (1981 CS),20002556,0.204,6.179,0.03728772282382141,2.789999975275229,2.16314673305444,M
  2557 Putnam (1981 SL1),20002557,0.348,7.465,0.1554242209136605,6.069014610608248,2.350286230579605,S
  2558 Viv (1981 SP1),20002558,0.273,5.026,0.1556614542886244,5.148994162924871,2.216846787965081,M
  2559 Svoboda (1981 UH),20002559,0.034,20.884,0.1537366289254968,8.878132016849598,2.787430012151517,C
  2560 Siegma (1932 CW),20002560,0.099,17.976,0.03350746040457565,5.946009413712015,2.750089430518643,C
  2561 Margolin (1969 TK2),20002561,0.057,11.512,0.1366661698392204,2.486863857230045,2.433048264397349,C
  2562 Chaliapin (1973 FF1),20002562,0.18,16.443,0.04614259660379378,10.23491864051865,3.007774537204281,M
  2563 Boyarchuk (1977 FZ),20002563,0.095,24.478,0.1449868833020782,2.042437844886763,3.191903370848148,C
  2564 Kayala (1977 QX),20002564,0.267,6.174,0.1093451789388123,1.965110818001161,2.237555801288956,M
  2565 Grogler (1977 TB1),20002565,,,0.2349189968144783,2.032916220206762,2.357323538259108,C
  2566 Kirghizia (1979 FR2),20002566,0.264,7.816,0.07644299794646138,5.079503676453921,2.450036925368869,M
  2567 Elba (1979 KA),20002567,0.159,15.938,0.1400850941843411,8.918344939929062,2.737267982246898,M
  2568 Maksutov (1980 GH),20002568,0.486,4.644,0.1886264563947528,8.035209496760125,2.205102662657273,S
  2569 Madeline (1980 MA),20002569,0.072,26.004,0.1637596019168183,11.50028953181479,2.624764248669549,C
  2570 Porphyro (1980 PG),20002570,0.038,24.779,0.1044159410990733,16.22667450036419,2.767580699287475,C
  2571 Geisei (1981 UC),20002571,0.275,6.582,0.1942220350120868,2.871071368882381,2.228858723927958,M
  2572 Annschnell (1950 DL),20002572,0.658,3.424,0.148238265930232,5.146339385588755,2.390787742744474,S
  2573 Hannu Olavi (1953 EN),20002573,0.119,20.2,0.1004268079613696,12.94374613392022,3.023726946204487,C
  2574 Ladoga (1968 UP),20002574,0.353,13.26,0.0709484289342432,2.106575865115587,2.851016404104551,S
  2575 Bulgaria (1970 PL),20002575,0.392,6.409,0.1225597901682784,4.673996944014964,2.240931062830068,S
  2576 Yesenin (1974 QL),20002576,0.073,27.887,0.1296374396617171,12.16521992872064,3.094697609895102,C
  2577 Litva (1975 EE3),20002577,,,0.1377628137161905,22.91022899502309,1.904395219964198,C
  2578 Saint-Exupery (1975 VW3),20002578,0.168,17.014,0.0936668657374395,10.56955285728819,3.002989668415795,M
  2579 Spartacus (1977 PA2),20002579,0.526,4.604,0.07455698719377847,5.780784855231148,2.210155191734181,S
  2580 Smilevskia (1977 QP4),20002580,0.237,7.234,0.1953568144201631,1.614524777615149,2.182622732611367,M
  2581 Radegast (1980 VX),20002581,0.245,6.739,0.09824345115677176,2.494818183756932,2.235742148722243,M
  2582 Harimaya-Bashi (1981 SA),20002582,0.1337,28.87,0.06303873681995616,18.1202540096264,3.203782732509822,C
  2583 Fatyanov (1975 XA3),20002583,0.382,5.658,0.2093612435163972,6.879534418870306,2.252481490017785,S
  2584 Turkmenia (1979 FG2),20002584,0.235,6.152,0.06599313561871231,1.434935741835378,2.227696792503641,M
  2585 Irpedina (1979 OJ15),20002585,0.698,6.049,0.2357025716977358,5.985724572728089,2.425538666435346,S
  2586 Matson (1980 LO),20002586,0.287,6.523,0.08880672496655875,4.363810067233512,2.38679028708742,M
  2587 Gardner (1980 OH),20002587,0.115,20.564,0.1542385122460557,2.630922930221301,3.168518511746707,C
  2588 Flavia (1981 VQ),20002588,0.243,6.178,0.2128438752209237,2.264952780616202,2.456206607153907,M
  2589 Daniel (1979 QU2),20002589,0.218,9.427,0.08373045266082636,2.623645051707501,2.881686514731339,M
  2590 Mourao (1980 KJ),20002590,0.605,7.88,0.1178583492784973,6.131732112144631,2.343185853070429,S
  2591 Dworetsky (1949 PS),20002591,0.291,12.925,0.04002220178076912,1.540458881517642,2.938293431330703,M
  2592 Hunan (1966 BW),20002592,0.072,18.533,0.1212913914482767,1.337536214032889,3.12029231740038,C
  2593 Buryatia (1976 GB8),20002593,0.344,3.937,0.07909199116504999,0.2126999926167855,2.169630131747548,S
  2594 Acamas (1978 TB),20002594,0.06,25.874,0.08515721877986537,5.535056827744523,5.059770027354002,C
  2595 Gudiachvili (1979 KL),20002595,0.111,14.478,0.1433813753931874,9.867532581315904,2.786817068500712,C
  2596 Vainu Bappu (1979 KN),20002596,0.109,10.571,0.07215852153573465,10.24161380932925,3.029533265649774,C
  2597 Arthur (1980 PN),20002597,0.282,10.432,0.1549322800498942,1.093682012069598,3.003959631352542,M
  2598 Merlin (1980 RY),20002598,0.049,15.694,0.2158718113105921,7.78032145798536,2.783247534305147,C
  2599 Veseli (1980 SO),20002599,0.33,13.321,0.1651596602523064,15.36637275972501,2.533870691030926,S
  2600 Lumme (1980 VP),20002600,0.196,15.063,0.09381438149148696,11.71606684646715,3.011330946418892,M
  2601 Bologna (1980 XA),20002601,0.36,12.172,0.06511825419248798,9.591489604786403,3.130556696270107,S
  2602 Moore (1982 BR),20002602,,,0.1073105644598852,5.545870845510266,2.384237357887677,C
  2603 Taylor (1982 BW1),20002603,0.065,18.069,0.04359532295122449,3.050401635234579,2.780820278817246,C
  2604 Marshak (1972 LD1),20002604,0.0552,14.9,0.2327737517488389,14.841633915574,2.387202610012116,C
  2605 Sahade (1974 QA),20002605,0.105,11.802,0.0807662031605094,9.420150836108624,3.096790787453837,C
  2606 Odessa (1976 GX2),20002606,0.175,15.91,0.2624489159368059,12.43885474327518,2.761859481802391,M
  2607 Yakutia (1977 NR),20002607,0.35,4.695,0.2264946068081265,2.090857494742071,2.376864389372229,S
  2608 Seneca (1978 DA),20002608,0.21,0.9,0.5647206075466479,14.42701426592145,2.530774299082859,M
  2609 Kiril-Metodi (1978 PB4),20002609,0.267,5.626,0.08866466402368373,5.713675108490844,2.220856590487919,M
  2610 Tuva (1978 RO1),20002610,0.288,5.649,0.09934067474862592,0.674766696208101,2.159259328152707,M
  2611 Boyce (1978 VQ5),20002611,,,0.05773348239663947,3.324772505111808,3.038978369196752,C
  2612 Kathryn (1979 DE),20002612,0.087,25.144,0.16492144119508,20.22372293555494,2.894836722537649,C
  2613 Plzen (1979 QE),20002613,0.077,28.007,0.04195410604029986,12.97941743019922,3.041542525230243,C
  2614 Torrence (1980 LP),20002614,,,0.1685116959175593,6.918387594241731,2.338357086660437,C
  2615 Saito (1951 RJ),20002615,0.088,15.555,0.1501628182190123,4.244860151240855,3.177304280614014,C
